URL,Overall_Score,Make fewer HTTP requests,Use a Content Delivery Network (CDN),Avoid empty src or href,Add Expires headers,Compress components with gzip,Put CSS at top,Put JavaScript at bottom,Avoid CSS expressions,Reduce DNS lookups,Minify JavaScript and CSS,Avoid URL redirects,Remove duplicate JavaScript and CSS,Configure entity tags (ETags),Make AJAX cacheable,Use GET for AJAX requests,Reduce the number of DOM elements,Avoid HTTP 404 (Not Found) error,Reduce cookie size,Use cookie-free domains,Avoid AlphaImageLoader filter,Do not scale images in HTML,Make favicon small and cacheable$
http://www.vlab.co.in/institute_detail.php?ins=009,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=010,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=011,$
http://www.vlab.co.in/institute_detail.php?ins=012,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/lab_ready_for_use.php,C(79),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),E(59),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=1,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=2,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=3,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=4,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=5,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=6,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=7,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=8,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/ba_labs_all.php?id=9,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/faq.php,B(81),B(88),F(0),A(100),F(0),D(67),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/disclaimer.php,C(77),C(76),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://iitd.vlab.co.in/?sub=65&amp;brch=182,B(81),C(76),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=65&amp;brch=183,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=67&amp;brch=185,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=63,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://iitb.vlab.co.in/?sub=8&amp;brch=117,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitb.vlab.co.in/?sub=8&amp;brch=116,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitb.vlab.co.in/index.php?sub=8&amp;brch=117,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitb.vlab.co.in/?sub=41&amp;brch=118,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitb.vlab.co.in/?sub=42&amp;brch=132,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitk.vlab.co.in/index.php?sub=27&amp;brch=236,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitk.vlab.co.in/?sub=27&amp;brch=80,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitk.vlab.co.in/?sub=27&amp;brch=83,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitkgp.vlab.co.in/?sub=39&amp;brch=124,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitkgp.vlab.co.in/?sub=39&amp;brch=125,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://iitkgp.vlab.co.in/?sub=40&amp;brch=137,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=61&amp;brch=293,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=59&amp;brch=163,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=62,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=58,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=59&amp;brch=164,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=59&amp;brch=165,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=59&amp;brch=166,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://iitg.vlab.co.in/index.php?sub=61&amp;brch=168,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=72&amp;brch=169,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=72&amp;brch=170,$
http://iitg.vlab.co.in/?sub=72&amp;brch=171,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=72&amp;brch=172,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=72&amp;brch=173,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=61&amp;brch=174,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://iitg.vlab.co.in/?sub=59&amp;brch=269,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iiith.vlab.co.in/?sub=19&amp;brch=45,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iiith.vlab.co.in/?sub=18&amp;brch=42,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=273,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=281,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=282,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=274,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=275,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=276,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=277,C(79),D(68),F(0),A(100),F(0),B(89),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=272,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=278,$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=257,C(74),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),A(95),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/index.php?sub=3&amp;brch=258,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=43,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=212,C(79),D(68),F(0),A(100),F(0),B(89),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=63,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=64,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=65,C(74),D(68),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(95),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=67,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=69,C(79),D(68),F(0),A(100),F(0),B(89),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=70,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=73,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=76,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=77,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=186,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=187,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=3&amp;brch=188,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=68,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=74,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=75,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=189,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=192,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=194,C(79),D(68),F(0),A(100),F(0),B(89),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=195,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=201,B(80),D(68),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(95),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=1&amp;brch=202,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=2&amp;brch=190,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=2&amp;brch=191,C(73),D(68),F(0),A(100),F(0),F(1),A(100),A(100),B(88),C(75),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=2&amp;brch=193,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://amrita.vlab.co.in/?sub=2&amp;brch=200,C(74),D(68),F(0),A(100),F(0),F(12),A(100),A(100),B(88),B(80),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=33&amp;brch=91,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=33&amp;brch=93,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=33&amp;brch=95,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=33&amp;brch=97,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=34&amp;brch=101,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=34&amp;brch=105,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=34&amp;brch=106,C(75),C(76),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=25,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://coep.vlab.co.in/?sub=28&amp;brch=81,C(75),C(72),F(0),A(100),F(0),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(40),A(100),A(100),A(95)$
http://iitd.vlab.co.in/index.php,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(15),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?pg=forum,D(69),F(36),F(0),A(100),F(0),F(0),A(100),A(100),B(88),A(95),F(30),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(25),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?pg=bindex&amp;bsub=contact,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?,C(74),C(76),F(0),A(100),F(0),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(15),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=65,C(74),C(72),F(0),A(100),F(0),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=65&amp;brch=182&amp;sim=406&amp;cnt=438,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=65&amp;brch=182&amp;sim=415&amp;cnt=626,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),E(50),A(100),A(100),A(95)$
http://iitd.vlab.co.in/?sub=65&amp;brch=182&amp;sim=461&amp;cnt=627,B(80),C(72),F(0),A(100),F(0),B(89),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(95)$
